name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
Skyward,1,5,5,0.6,Prime Video,2017-09-01,2017-09-01,Pilot,FALSE,0
Phyllis,2,5,6.8,14.959,CBS,1975-09-08,1977-03-13,Ended,FALSE,552
Don't,1,5,6.8,0.795,ABC,2020-06-11,2020-08-13,Canceled,FALSE,63
The Big Fib,1,5,5.6,60.017,Disney+,2020-05-22,2020-10-23,Canceled,FALSE,154
Jamie Oliver's Food Revolution,2,5,8.8,1.859,ABC,2010-03-21,2011-06-24,Ended,FALSE,460
Etheria,6,5,6.6,2.378,Prime Video,2020-08-20,2022-09-26,Returning Series,TRUE,767
Miseducation,1,5,8,18.512,Netflix,2023-09-15,2023-09-15,Returning Series,TRUE,0
Tokyo Alice,1,5,7.6,4.073,Prime Video,2017-08-25,2017-11-03,Ended,FALSE,70
"Dink, the Little Dinosaur",2,5,4.5,41.076,CBS,1989-09-16,1990-11-03,Ended,FALSE,413
The Beach Boys: An American Family,1,5,8.6,2.135,ABC,2000-02-27,2000-02-28,Ended,FALSE,1
Bless You,1,5,9,7.662,Hulu,2022-03-19,2022-04-09,Ended,FALSE,21
Kicking & Screaming,1,5,5.8,1.356,FOX,2017-03-09,2017-04-27,Canceled,FALSE,49
The Beginning of Life: The Series,1,5,6.8,2.139,Netflix,2016-11-11,2016-11-11,Ended,FALSE,0
The Great American Baking Show,5,5,6.2,4.088,ABC,2015-11-30,2020-01-02,Returning Series,TRUE,1494
Becoming,1,5,6.8,3.29,Disney+,2020-09-18,2020-09-18,Ended,FALSE,0
It's a Dog's Life with Bill Farmer,1,5,7.25,2.001,Disney+,2020-05-15,2020-07-17,Canceled,FALSE,63
Bookmarks: Celebrating Black Voices,1,5,5.4,6.915,Netflix,2020-09-01,2020-09-01,Returning Series,TRUE,0
The Genetic Detective,1,5,8.2,1.416,ABC,2020-05-26,2020-06-30,Returning Series,TRUE,35
Hollywood Wives,1,5,3.4,2.706,ABC,1985-02-17,1985-02-19,Ended,FALSE,2
How to Become a Mob Boss,1,5,8.6,57.53,Netflix,2023-11-14,2023-11-14,Ended,FALSE,0
Annedroids,4,5,8.2,4.686,Prime Video,2014-07-25,2017-03-02,Ended,FALSE,951
Senzo: Murder of a Soccer Star,1,5,6.6,1.486,Netflix,2022-04-07,2022-04-07,Ended,FALSE,0
Luxe Listings Sydney,3,5,7,1.266,Prime Video,2021-07-09,2022-10-21,Returning Series,TRUE,469
Lancer,2,5,4.7,18.782,CBS,1968-09-24,1970-05-19,Ended,FALSE,602
Suspense,6,5,4,94.492,CBS,1949-01-06,1954-08-17,Ended,FALSE,2049
Windmills of the Gods,1,5,5.7,1.715,CBS,1988-02-07,1988-02-09,Ended,FALSE,2
Thieves,1,5,7,3.389,ABC,2001-09-28,2001-11-23,Canceled,FALSE,56
Topper,2,5,6.2,29.462,CBS,1953-10-09,1955-07-15,Ended,FALSE,644
Oliver Beene,2,5,8.6,5.636,FOX,2003-03-09,2004-09-12,Canceled,FALSE,553
Inside Jokes,1,5,7.4,1.251,Prime Video,2018-11-29,2018-11-29,Returning Series,TRUE,0
Mental Samurai,2,5,7.8,1.321,FOX,2019-03-19,2021-07-13,Returning Series,TRUE,847
Dance Monsters,1,5,6.4,2.737,Netflix,2022-12-16,2022-12-30,Returning Series,TRUE,14
Cruel Doubt,1,5,4.8,2.876,CBS,1992-05-17,1992-05-18,Ended,FALSE,1
Misfit: The Series,1,5,6.4,2.104,Netflix,2021-10-16,2021-10-16,Returning Series,TRUE,0
1st & Ten,6,5,6.6,6.951,HBO,1984-12-02,1991-01-23,Ended,FALSE,2243
Shonan Junai Gumi!,1,5,8,4.289,Prime Video,2020-02-28,2020-02-28,Ended,FALSE,0
Boy Band,1,5,7.6,1.4,ABC,2017-06-22,2017-08-24,Ended,FALSE,63
Millennials,3,5,5.8,14.428,Netflix,2018-11-26,2021-05-21,Returning Series,TRUE,907
Pan y Circo,2,5,5.8,2.956,Prime Video,2020-08-06,2022-06-23,Returning Series,TRUE,686
Time of Your Life,1,5,4.5,32.16,FOX,1999-10-25,2000-06-21,Canceled,FALSE,240
Johnny Ringo,1,5,4.6,27.679,CBS,1959-10-02,1960-06-30,Ended,FALSE,272
Ladies First: A Story of Women in Hip-Hop,1,5,7.8,7.676,Netflix,2023-08-09,2023-08-09,Ended,FALSE,0
Emmet Otter's Jug Band Christmas,1,5,8.4,1.4,HBO,1978-12-17,1978-12-17,Ended,FALSE,0
Ladies Up,1,5,6,1.374,Netflix,2020-03-27,2020-03-27,Returning Series,TRUE,0
The Merv Griffin Show,24,5,5.2,448.855,CBS,1962-10-01,1967-12-29,Canceled,FALSE,1915
Monchhichis,1,5,6.2,4.344,ABC,1983-09-10,1983-12-24,Ended,FALSE,105
Chad and JT Go Deep,1,5,7.8,2.785,Netflix,2022-08-23,2022-08-23,Returning Series,TRUE,0
Forever Queens,1,5,5.4,2.226,Netflix,2022-10-02,2022-10-02,Returning Series,TRUE,0
Johnny Hallyday: Beyond Rock,1,5,6,1.461,Netflix,2022-03-29,2022-03-29,Returning Series,TRUE,0
Taste the Nation with Padma Lakshmi,2,5,7.6,9.691,Hulu,2020-06-19,2023-05-05,Returning Series,TRUE,1050
Magic for Humans Spain,1,5,3.8,0.628,Netflix,2021-03-26,2021-03-26,Returning Series,TRUE,0
Jeannie,1,5,8.2,3.831,CBS,1973-09-08,1973-12-22,Ended,FALSE,105
K Street,1,5,6,1.963,HBO,2003-09-14,2003-11-16,Ended,FALSE,63
The Amazing Chan and the Chan Clan,1,5,5.2,8.895,CBS,1972-09-09,1972-12-30,Ended,FALSE,112
Hawaiian Eye,4,5,6,35.567,ABC,1959-10-07,1963-04-02,Ended,FALSE,1273
Run for the Money,1,5,5.6,4.333,Netflix,2022-11-15,2022-11-15,Ended,FALSE,0
QB VII,1,5,7.8,3.041,ABC,1974-04-29,1974-04-30,Ended,FALSE,1
Baahubali: The Lost Legends,5,5,7.2,3.782,Prime Video,2017-04-23,2018-02-16,Returning Series,TRUE,299
Vasco Rossi: Living It,1,5,7.2,17.815,Netflix,2023-09-27,2023-09-27,Ended,FALSE,0
YooHoo to the Rescue,3,5,6.6,8.018,Netflix,2019-03-15,2019-03-15,Returning Series,TRUE,0
Popples,3,5,6.8,9.02,Netflix,2015-10-30,2016-07-24,Ended,FALSE,268
Skeleton Warriors,1,5,7.5,5.519,CBS,1995-03-23,1995-06-15,Ended,FALSE,84
Jailbirds New Orleans,1,5,6.1,1.631,Netflix,2021-09-24,2021-09-24,Returning Series,TRUE,0
Mr. Merlin,1,5,4.7,10.883,CBS,1981-10-07,1982-03-22,Ended,FALSE,166
Cane,1,5,5.4,3.156,CBS,2007-09-25,2007-12-18,Ended,FALSE,84
Supa Team 4,1,5,6.2,5.169,Netflix,2023-07-20,2023-07-20,Returning Series,TRUE,0
Getting Curious with Jonathan Van Ness,1,5,6,2.226,Netflix,2022-01-28,2022-01-28,Returning Series,TRUE,0
I Survived a Japanese Game Show,2,5,7.8,1.4,ABC,2008-06-24,2009-08-19,Ended,FALSE,421
A Man Called Hawk,1,5,6.6,3.189,ABC,1989-01-28,1989-05-13,Ended,FALSE,105
Domino Masters,1,5,7,1.903,FOX,2022-03-09,2022-05-11,Returning Series,TRUE,63
Action Man,2,5,7,7.087,FOX,2000-08-05,2001-08-20,Canceled,FALSE,380
Crayon Shin-chan Spin-off,4,5,7.8,6.693,Prime Video,2016-08-03,2017-08-23,Ended,FALSE,385
Tanner '88,1,5,6.4,5.008,HBO,1988-02-15,1988-08-22,Ended,FALSE,189
The Age of Influence,1,5,6.8,7.914,Hulu,2023-06-05,2023-06-05,Returning Series,TRUE,0
Swap Shop,2,5,6.4,2.265,Netflix,2021-11-09,2022-02-16,Returning Series,TRUE,99
Care Bears: Adventures in Care-a-lot,2,5,7.8,60.756,CBS,2009-03-16,2009-05-07,Ended,FALSE,52
Llama Llama,2,5,6.6,27.957,Netflix,2018-01-26,2019-11-15,Returning Series,TRUE,658
Emily's Wonder Lab,1,5,6.4,2.624,Netflix,2020-08-25,2020-08-25,Returning Series,TRUE,0
What About Joan?,2,5,6,5.735,ABC,2001-03-27,2001-10-09,Ended,FALSE,196
The NeverEnding Story,1,5,6.8,55.453,HBO,1995-12-02,1996-05-25,Ended,FALSE,175
Pau Gasol: It’s About the Journey,1,5,5.9,1.288,Prime Video,2021-11-12,2021-11-12,Ended,FALSE,0
Outlaws,1,5,6.9,3.73,CBS,1986-12-28,1987-05-02,Ended,FALSE,125
The Swiss Family Robinson,1,5,6.4,15.618,ABC,1975-09-14,1976-04-04,Ended,FALSE,203
Who Likes My Follower?,1,5,6.2,1.168,Netflix,2022-09-08,2022-09-08,Returning Series,TRUE,0
Jewish Matchmaking,1,5,5.2,2.667,Netflix,2023-05-03,2023-05-03,Returning Series,TRUE,0
Beast of Bangalore: Indian Predator,1,5,5.2,2.28,Netflix,2022-12-16,2022-12-16,Ended,FALSE,0
That Life Is Mine,4,5,5.6,30.487,FOX,2014-02-16,2017-04-16,Ended,FALSE,1155
I'm with Her,1,5,6.6,25.208,ABC,2003-09-23,2004-04-27,Canceled,FALSE,217
Past Life,1,5,3.8,1.777,FOX,2010-02-09,2010-06-04,Canceled,FALSE,115
Harlem Globetrotters,2,5,5.8,2.942,CBS,1970-09-12,1971-10-16,Ended,FALSE,399
Bring 'Em Back Alive,1,5,6.4,19.888,CBS,1982-09-24,1983-05-31,Ended,FALSE,249
RACE,1,5,6,5.947,Disney+,2023-05-10,2023-06-14,Ended,FALSE,35
Reporting for Duty,1,5,7.4,12.018,Netflix,2023-09-06,2023-09-06,Returning Series,TRUE,0
Danger & Eggs,1,5,7.2,9.069,Prime Video,2017-06-30,2017-06-30,Ended,FALSE,0
"Benji, Zax & the Alien Prince",1,5,5.2,3.553,CBS,1983-09-17,1983-12-17,Ended,FALSE,91
"Breakfast, Lunch & Dinner",1,5,6.6,4.768,Netflix,2019-10-23,2019-10-23,Returning Series,TRUE,0
The Invisible Girl,1,5,7.2,6.482,Disney+,2023-02-15,2023-02-15,Returning Series,TRUE,0
Deaf U,1,5,5,2.926,Netflix,2020-10-09,2020-10-16,Returning Series,TRUE,7
Larva Family,1,5,7.6,6.735,Netflix,2023-05-04,2023-05-04,Returning Series,TRUE,0
Women in Taipei,1,5,5.8,3.318,Disney+,2022-09-21,2022-11-23,Ended,FALSE,63
Russell Howard: Lubricant,1,5,5,1.4,Netflix,2021-12-14,2021-12-14,Ended,FALSE,0
Twentysomethings: Austin,1,5,4.4,2.19,Netflix,2021-12-10,2021-12-17,Returning Series,TRUE,7
Innocence,1,5,7.6,12.607,FOX,2021-02-24,2021-05-24,Ended,FALSE,89
Voices Rising: The Music of Wakanda Forever,1,5,5.8,2.767,Disney+,2023-02-28,2023-03-14,Ended,FALSE,14
It's All Relative,1,5,5.8,37.588,ABC,2003-10-01,2008-09-18,Canceled,FALSE,1814
Always Jane,1,5,6.4,2.765,Prime Video,2021-11-11,2021-11-11,Ended,FALSE,0
Robbery Homicide Division,1,5,8.4,3.699,CBS,2002-09-27,2002-12-07,Ended,FALSE,71
Donny & Marie,4,5,6.8,28.527,ABC,1976-01-23,1979-01-19,Ended,FALSE,1092
Lizzo's Watch Out for the Big Grrrls,1,5,4.4,2.746,Prime Video,2022-03-24,2022-03-24,Returning Series,TRUE,0
Hack,2,5,7.5,5.824,CBS,2002-09-27,2004-03-13,Ended,FALSE,533
Catfish: Trolls,1,5,6.1,1.639,CBS,2018-07-17,2018-07-31,Returning Series,TRUE,14
Matt Helm,1,5,7.4,4.861,ABC,1975-09-20,1976-01-03,Ended,FALSE,105
Treehouse Detectives,2,5,7.8,1.874,Netflix,2018-06-08,2018-11-09,Ended,FALSE,154
Covington Cross,1,5,6.8,1.967,ABC,1992-08-25,1992-10-31,Ended,FALSE,67
Extreme Weight Loss,4,5,6.2,1.039,ABC,2011-05-30,2015-09-08,Returning Series,TRUE,1562
The Emmy Awards,75,5,7.4,3.743,ABC,1949-01-25,2022-09-12,Returning Series,TRUE,26893
The Iliza Shlesinger Sketch Show,1,5,5.6,2.991,Netflix,2020-04-01,2020-04-01,Returning Series,TRUE,0
Life's a Glitch with Julien Bam,1,5,4.6,1.517,Netflix,2021-10-21,2021-10-21,Returning Series,TRUE,0
Reunion,1,5,6.8,3.631,FOX,2005-09-08,2005-12-15,Ended,FALSE,98
Lauren Lake's Paternity Court,6,5,6.9,215.494,FOX,2013-09-23,2019-02-27,Returning Series,TRUE,1983
Nightline,8,5,5.1,6.028,ABC,1980-03-24,2022-10-20,Returning Series,TRUE,15550
Sing On! Spain,1,5,6.8,1.447,Netflix,2020-07-24,2020-07-24,Returning Series,TRUE,0
Dating Around: Brazil,1,5,5.2,2.49,Netflix,2020-07-10,2020-07-10,Returning Series,TRUE,0
Loving,1,5,6.6,1.111,ABC,1983-06-26,1986-06-08,Ended,FALSE,1078
The Ride,1,5,7.2,3.734,Prime Video,2023-05-29,2023-05-29,Returning Series,TRUE,0
The Cosmopolitans,1,5,6,1.408,Prime Video,2014-08-28,2014-08-28,Canceled,FALSE,0
Dick Powell's Zane Grey Theatre,5,5,5.4,292.463,CBS,1956-10-05,1961-05-18,Ended,FALSE,1686
Masaba Masaba,2,5,5.8,1.661,Netflix,2020-08-28,2022-07-29,Returning Series,TRUE,700
Pet Stars,1,5,6.8,1.421,Netflix,2021-04-30,2021-04-30,Returning Series,TRUE,0
That's Incredible!,5,5,4.8,2.287,ABC,1980-03-03,1984-04-30,Returning Series,TRUE,1519
Made in Mexico,1,5,6.4,2.547,Netflix,2018-09-28,2018-09-28,Canceled,FALSE,0
Love Addicts,1,5,6.2,2.892,Prime Video,2022-11-30,2022-11-30,Ended,FALSE,0
Valentine,1,5,6.8,1.808,The CW,2008-10-05,2009-07-19,Canceled,FALSE,287
Wishenpoof!,3,5,5.6,4.033,Prime Video,2015-08-14,2015-08-14,Returning Series,TRUE,0
Tumble Leaf,4,5,7.4,2.657,Prime Video,2013-04-19,2018-09-04,Ended,FALSE,1964
Becoming Champions,1,5,5.8,1.622,Netflix,2018-08-01,2018-08-01,Ended,FALSE,0
Sons of Thunder,1,5,9.8,3.3,CBS,1999-03-06,1999-04-17,Ended,FALSE,42
Here Come the Double Deckers,1,5,6.2,11.838,ABC,1970-09-12,1971-01-02,Ended,FALSE,112
Brainchild,1,5,7.4,3.218,Netflix,2018-11-02,2018-11-02,Returning Series,TRUE,0
The Pebbles and Bamm-Bamm Show,2,5,4,7.801,CBS,1971-09-11,1972-01-01,Ended,FALSE,112
Death Note: New Generation,1,5,8,6.905,Hulu,2016-09-16,2016-09-30,Ended,FALSE,14
5x Comédia,1,5,6.5,1.414,Prime Video,2021-03-26,2021-03-26,Returning Series,TRUE,0
Sketchbook,1,5,5.8,4.22,Disney+,2022-04-27,2022-04-27,Returning Series,TRUE,0
Risqué Business: Japan,1,5,5.8,13.17,Netflix,2023-04-25,2023-04-25,Ended,FALSE,0
Marching Orders,1,5,6.2,1.075,Netflix,2018-08-03,2018-08-03,Returning Series,TRUE,0
Scarlet Hill,1,5,5.4,4.755,Netflix,2022-11-04,2022-11-04,Ended,FALSE,0
The Weird Al Show,1,5,6,4.781,CBS,1997-09-13,1997-12-06,Ended,FALSE,84
LOL: Last One Laughing Netherlands,2,4,5,2.786,Prime Video,2023-01-20,2023-01-27,Returning Series,TRUE,7
That's My Mama,2,4,7,30.947,ABC,1974-09-04,1975-12-17,Ended,FALSE,469
Hee Haw,23,4,7.2,126.44,CBS,1969-06-15,1992-05-30,Ended,FALSE,8385
Peter Pan & the Pirates,1,4,8.5,99.403,FOX,1990-09-10,2006-01-01,Ended,FALSE,5592
Waffles + Mochi's Restaurant,1,4,8,1.134,Netflix,2022-10-17,2022-10-17,Returning Series,TRUE,0
High on the Hog: How African American Cuisine Transformed America,1,4,6,1.488,Netflix,2021-05-26,2021-05-26,Returning Series,TRUE,0
Family Double Dare,3,4,8.2,17.636,FOX,1988-04-03,1993-02-06,Ended,FALSE,1770
A Town Without Seasons,1,4,8,5.871,Disney+,2023-08-09,2023-08-09,Ended,FALSE,0
Transformers: BotBots,1,4,5.8,8.314,Netflix,2022-03-25,2022-03-25,Returning Series,TRUE,0
East Side/West Side,1,4,7.8,35.7,CBS,1963-09-23,1964-04-27,Ended,FALSE,217
Hallmark Hall of Fame,61,4,9.5,7.528,ABC,1951-12-24,2011-11-27,Returning Series,TRUE,21888
Foodtastic,1,4,3.8,2.506,Disney+,2021-12-15,2021-12-15,Canceled,FALSE,0
George Washington,1,4,7.5,3.494,CBS,1984-04-08,1984-04-11,Ended,FALSE,3
The Ripping Friends,2,4,6.75,2.82,FOX,2001-09-15,2002-01-26,Ended,FALSE,133
LOL: Last One Laughing Poland,1,4,4.8,2.511,Prime Video,2023-04-14,2023-04-28,Returning Series,TRUE,14
Superhuman Samurai Syber-Squad,1,4,7.2,31.364,ABC,1994-09-12,1995-04-11,Ended,FALSE,211
Toma,1,4,7.8,27.44,ABC,1973-03-21,1974-05-10,Ended,FALSE,415
It's About Time,1,4,6,17.733,CBS,1966-09-11,1967-04-02,Ended,FALSE,203
Best In Dough,1,4,5.8,2.498,Hulu,2022-09-19,2022-10-03,Canceled,FALSE,14
Last One Standing,2,4,7.2,8.952,Netflix,2022-03-08,2022-03-08,Returning Series,TRUE,0
Curiosity Shop,1,4,10,1.604,ABC,1971-09-11,1971-09-11,Ended,FALSE,0
My Pet Monster,1,4,6.8,1.503,ABC,1987-09-12,1987-12-19,Ended,FALSE,98
New World,1,4,5,5.809,Netflix,2021-11-20,2021-12-11,Ended,FALSE,21
Alma Matters: Inside the IIT Dream,1,4,7.2,1.715,Netflix,2021-05-14,2021-05-14,Ended,FALSE,0
Super Monsters Monster Party,1,4,7.5,0.6,Netflix,2018-09-14,2018-09-14,Returning Series,TRUE,0
Anything But Love,4,4,5.2,41.097,ABC,1989-03-07,1992-06-03,Ended,FALSE,1184
Miss Guided,1,4,7,2.335,ABC,2008-03-18,2008-04-03,Canceled,FALSE,16
Fifteen-Love,1,4,5,4.624,Prime Video,2023-07-21,2023-07-21,Returning Series,TRUE,0
Pearl,1,4,7.8,3.332,ABC,1978-11-16,1978-11-19,Ended,FALSE,3
Dew Drop Diaries,1,4,6,41.884,Netflix,2023-07-24,2023-07-24,Returning Series,TRUE,0
Ultimate Tag,1,4,8.5,1.107,FOX,2020-05-20,2020-07-29,Canceled,FALSE,70
LOL - Hasse Toh Phasse,1,4,3,1.737,Prime Video,2021-04-30,2021-04-30,Returning Series,TRUE,0
Tombstone Territory,3,4,6.2,55.649,ABC,1957-10-16,1960-07-08,Ended,FALSE,996
Rel,1,4,5.8,1.704,FOX,2018-09-09,2019-01-13,Canceled,FALSE,126
Wild and Free,3,4,7.5,3.644,Prime Video,2020-03-20,2023-04-14,Returning Series,TRUE,1120
Happily Ever After: Fairy Tales for Every Child,3,4,8,32.402,HBO,1995-03-12,2000-07-18,Ended,FALSE,1955
Eyes,1,4,7.4,3.98,ABC,2005-03-30,2009-12-01,Canceled,FALSE,1707
Beyond the Tank,2,4,6.5,0.771,ABC,2015-05-01,2016-02-04,Ended,FALSE,279
World War 2 - The Call of Duty: A Complete Timeline,1,4,7,2.815,Prime Video,2020-10-02,2020-10-02,Ended,FALSE,0
Say I Do,1,4,6.2,2.462,Netflix,2020-07-01,2020-07-01,Returning Series,TRUE,0
QB1: Beyond the Lights,4,4,7,8.208,Netflix,2017-02-13,2023-08-10,Returning Series,TRUE,2369
Celebrity Hunted - Jede Spur kann dich verraten,1,4,3.5,1.335,Prime Video,2021-12-03,2021-12-17,Returning Series,TRUE,14
Marc Márquez: All In,1,4,6,2.678,Prime Video,2023-02-20,2023-02-20,Returning Series,TRUE,0
Hello Kitty's Furry Tale Theater,1,4,6.4,18.071,CBS,1987-09-19,1987-12-05,Ended,FALSE,77
あなたの番です 扉の向こう,1,4,7,1.965,Hulu,2019-04-21,2019-09-15,Ended,FALSE,147
The Fire Next Time,1,4,5.9,2,CBS,1993-04-18,1993-04-20,Ended,FALSE,2
Stagecoach West,1,4,6,4.327,ABC,1960-10-04,1961-06-27,Ended,FALSE,266
Web of Death,1,4,6.75,2.822,Hulu,2023-01-19,2023-01-19,Ended,FALSE,0
Pistols 'n' Petticoats,1,4,7.5,16.085,CBS,1966-09-17,1967-09-26,Ended,FALSE,374
Frank Elstner: Just One Last Question,2,4,5.6,1.832,Netflix,2019-04-24,2020-06-12,Returning Series,TRUE,415
Cathouse: The Series,4,4,4.2,3.834,HBO,2005-06-16,2009-10-22,Returning Series,TRUE,1589
Jeopardy! The Greatest of All Time,1,4,8.25,1.796,ABC,2020-01-07,2020-01-14,Ended,FALSE,7
Sainz: Live to compete,1,4,5.2,2.439,Prime Video,2021-12-02,2022-03-30,Returning Series,TRUE,118
Frank's Place,1,4,5.8,28.456,CBS,1987-09-14,1988-03-22,Ended,FALSE,190
The Kennedy Center Honors,42,4,7.5,13.324,CBS,1978-12-28,2022-12-27,Returning Series,TRUE,16070
7 Days Out,1,4,6.5,1.363,Netflix,2018-12-21,2018-12-21,Returning Series,TRUE,0
Sugarfoot,4,4,4.2,31.101,ABC,1957-09-17,1961-04-17,Ended,FALSE,1308
We Are: The Brooklyn Saints,1,4,7.5,3.648,Netflix,2021-01-29,2021-01-29,Returning Series,TRUE,0
Southern Survival,1,4,6.8,1.999,Netflix,2020-07-03,2020-07-03,Returning Series,TRUE,0
Men into Space,1,4,7,73.08,CBS,1959-09-30,1960-09-14,Ended,FALSE,350
The Missiles of October,1,4,8.8,2.209,ABC,1974-09-18,1974-09-18,Ended,FALSE,0
Disney Family Sundays,1,4,4.8,5.522,Disney+,2019-11-12,2020-08-07,Returning Series,TRUE,269
Fly Girls,1,4,4.2,16.694,The CW,2010-03-24,2010-05-05,Canceled,FALSE,42
Irmãos Freitas,1,4,6,1.716,Prime Video,2019-10-20,2019-12-01,Ended,FALSE,42
Dan August,1,4,6.5,10.459,ABC,1970-09-23,1971-04-08,Ended,FALSE,197
Bambai Meri Jaan,1,4,6.2,62.49,Prime Video,2023-09-14,2023-09-14,Ended,FALSE,0
Matildas: The World at Our Feet,1,4,6.25,5.845,Disney+,2023-04-26,2023-04-26,Ended,FALSE,0
True Tunes,1,4,8,4.769,Netflix,2019-07-12,2019-07-12,Returning Series,TRUE,0
Chico Bon Bon: Monkey with a Tool Belt,4,4,7,7.354,Netflix,2020-05-08,2020-10-27,Returning Series,TRUE,172
CBS Schoolbreak Special,10,4,5.5,4.417,CBS,1980-04-19,1994-10-25,Ended,FALSE,5302
The Law of the Jungle,1,4,6,3.509,Netflix,2023-03-15,2023-03-15,Returning Series,TRUE,0
Dave's World,4,4,7,96.001,CBS,1993-09-20,1997-06-27,Ended,FALSE,1376
Use for My Talent,1,4,4.2,18.469,Netflix,2021-05-09,2021-06-01,Ended,FALSE,23
Felipe Esparza: Bad Decisions,1,4,7.75,1.4,Netflix,2020-09-01,2020-09-01,Ended,FALSE,0
Restaurants on the Edge,2,4,6,1.348,Netflix,2020-02-28,2020-05-08,Returning Series,TRUE,70
Love Club,1,4,6.875,4.82,Prime Video,2023-06-20,2023-06-20,Returning Series,TRUE,0
Cooked With Cannabis,1,4,6,1.296,Netflix,2020-04-20,2020-04-20,Returning Series,TRUE,0
마샤와 곰,3,4,8,0.841,Netflix,2019-08-08,2019-08-08,Returning Series,TRUE,0
"The Chorus: Success, Here I Go",2,4,5.5,3.625,Disney+,2022-09-28,2022-09-28,Returning Series,TRUE,0
LOL: Last One Laughing Quebec,1,4,7.2,3.634,Prime Video,2023-01-05,2023-01-12,Returning Series,TRUE,7
Unhitched,1,4,7.2,3.415,FOX,2008-03-02,2008-03-30,Canceled,FALSE,28
The Handler,1,4,7,13.149,CBS,2003-09-26,2004-01-30,Ended,FALSE,126
Darknet-sur-Mer,1,4,5.6,2.551,Prime Video,2022-10-07,2022-10-07,Returning Series,TRUE,0
Latin America from Above,1,4,6.8,1.4,Disney+,2020-11-17,2021-01-01,Returning Series,TRUE,45
Best of the West,1,4,6,17.627,ABC,1981-09-10,1982-06-21,Ended,FALSE,284
3 lbs,1,4,4.2,2.357,CBS,2006-11-14,2006-12-26,Ended,FALSE,42
Creator's File: GOLD,1,4,6.5,2.293,Netflix,2021-06-03,2021-06-03,Ended,FALSE,0
We the People,1,4,5.25,3.8,Netflix,2021-07-04,2021-07-04,Ended,FALSE,0
The Outreau Case: A French Nightmare,1,4,7.75,9.961,Netflix,2024-03-15,2024-03-15,Ended,FALSE,0
Dilemma,1,4,4.8,34.515,Prime Video,2024-02-23,2024-03-29,Returning Series,TRUE,35
La vida de Marta Díaz,1,4,6.25,4.209,Prime Video,2023-10-18,2023-10-18,Returning Series,TRUE,0
The Hungry and the Hairy,1,4,6.5,1.914,Netflix,2021-12-11,2021-12-11,Ended,FALSE,0
Super Monsters Monster Pets,1,4,6.8,1.571,Netflix,2019-06-07,2019-06-07,Returning Series,TRUE,0
Luna Petunia,3,4,6.5,3.124,Netflix,2016-12-09,2017-11-17,Returning Series,TRUE,343
The Superman/Aquaman Hour of Adventure,1,4,6.75,14.908,CBS,1967-09-09,1967-09-29,Ended,FALSE,20
Capitol,5,4,5.8,10.963,CBS,1982-03-26,1987-03-20,Ended,FALSE,1820
Cop Rock,1,4,3.2,2.556,ABC,1990-09-26,1990-12-26,Ended,FALSE,91
Till Murder Do Us Part: Soering vs. Haysom,1,4,7.75,9.463,Netflix,2023-11-01,2023-11-01,Ended,FALSE,0
Motel Makeover,1,4,4.2,1.377,Netflix,2021-08-25,2021-08-25,Canceled,FALSE,0
Sons of The Soil - Jaipur Pink Panthers,1,4,6.8,2.525,Prime Video,2020-12-03,2020-12-03,Ended,FALSE,0
Modern Love Amsterdam,1,4,6.5,4.7,Prime Video,2022-12-16,2022-12-16,Ended,FALSE,0
Tien Bromance,2,4,3.2,6.586,Netflix,2020-02-13,2021-06-15,Ended,FALSE,488
15: A Quinceañera Story,1,4,6.2,1.236,HBO,2017-12-19,2017-12-22,Ended,FALSE,3
Dragon's Lair,1,4,5.2,1.796,ABC,1984-09-08,1984-12-01,Ended,FALSE,84
The New Perry Mason,1,4,7.5,6.411,CBS,1973-09-16,1974-01-20,Ended,FALSE,126
The Legend of Jesse James,1,4,4.8,27.712,ABC,1965-09-13,1966-05-09,Ended,FALSE,238
Hot Properties,1,4,8.2,2.247,ABC,2005-10-07,2005-12-30,Canceled,FALSE,84
More Than Words,1,4,5,3.655,Prime Video,2022-09-16,2022-11-18,Ended,FALSE,63
Vadhandhi,1,4,6.5,3.43,Prime Video,2022-12-02,2022-12-02,Ended,FALSE,0
C-16: FBI,1,4,6.75,5.024,ABC,1997-09-27,1998-07-02,Canceled,FALSE,278
The Sixth Sense,2,4,6,9.169,ABC,1972-01-15,1972-12-23,Ended,FALSE,343
Animals Up Close with Bertie Gregory,1,4,9.25,3.584,Disney+,2023-09-13,2023-09-13,Returning Series,TRUE,0
Politically Incorrect,2,4,5.8,2.083,ABC,1993-07-25,1998-03-23,Ended,FALSE,1702
En la corte del Principito,1,4,5,0.996,Prime Video,2022-04-22,2022-04-22,Ended,FALSE,0
Celebrity Watch Party,1,4,6,3.355,FOX,2020-05-07,2020-07-23,Returning Series,TRUE,77
Funky Cops,2,4,6.5,7.211,FOX,2002-05-04,2003-10-04,Ended,FALSE,518
Motown Magic,2,4,7.5,7.329,Netflix,2018-11-20,2019-09-28,Returning Series,TRUE,312
The Low Tone Club,1,4,9.75,5.089,Disney+,2023-02-22,2023-02-22,Canceled,FALSE,0
Feels Like Ishq,1,4,4.8,3.465,Netflix,2021-07-23,2021-07-23,Returning Series,TRUE,0
